"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",86.3310587836766,-0.33462605317578,0.227781997856481,-1.46906277196944,0.141815764090384,0.469523703829612
"A1BG-AS1",260.266585248493,-0.0765789960826002,0.141959401559348,-0.539442933975637,0.589581262986291,0.845187576384837
"A1CF",0,NA,NA,NA,NA,NA
"A2M",213.171398402167,-0.493104937923382,0.156652448119713,-3.14776400778975,0.00164524460537579,0.0242272882118531
"A2M-AS1",10.1478517714708,0.571319751908774,0.575229778559653,0.993202669964915,0.320611197465177,NA
"A2ML1",0,NA,NA,NA,NA,NA
"A2MP1",0.164941234795159,-0.808958467639697,4.0804728567969,-0.198251157654977,0.842848563693048,NA
"A3GALT2",1.82909364835372,-0.134427820804053,1.30578423358781,-0.102947958281512,0.91800427467169,NA
"A4GALT",492.931796884345,0.437352710568285,0.156536138683043,2.79394083850403,0.00520700037612266,0.0578812294369676
"A4GNT",0,NA,NA,NA,NA,NA
"AA06",0,NA,NA,NA,NA,NA
"AAAS",792.22227468542,-0.143840986086043,0.118622308167323,-1.21259641890586,0.225284158720388,0.582619402189791
"AACS",821.326182700057,0.156783013592982,0.117827154439332,1.33061868750898,0.183314510349587,0.531069922355885
"AACSP1",0,NA,NA,NA,NA,NA
"AADAC",0.162444167472278,-0.808958467639697,4.0804728567969,-0.198251157654977,0.842848563693048,NA
"AADACL2",0,NA,NA,NA,NA,NA
"AADACL2-AS1",0,NA,NA,NA,NA,NA
"AADACL3",0,NA,NA,NA,NA,NA
"AADACL4",0.164941234795159,-0.808958467639697,4.0804728567969,-0.198251157654977,0.842848563693048,NA
"AADACP1",1.19342582687517,1.44128650711591,1.71201247234378,0.841866826555741,0.399862500845931,NA
"AADAT",95.2982275045887,0.0701335017786757,0.224597475473881,0.312263090360656,0.754840588167713,0.917050724421968
"AAGAB",1019.06031229933,-0.132618833278741,0.104593504827637,-1.26794520842655,0.204817518020493,0.560933913132434
"AAK1",1409.96696492387,0.13595877590825,0.164478898906687,0.826603149777787,0.408462031503263,0.737246238074884
"AAMDC",163.319701645242,-0.0752298901927528,0.238720500626994,-0.315137954198166,0.752656912287665,0.916070090927102
"AAMP",1433.80808553631,-0.0177972229421186,0.164461837519762,-0.108214909978615,0.91382521795853,0.971069734059032
"AANAT",1.68325539661489,0.110329731298699,1.44813148953388,0.0761876473898181,0.939269810080011,NA
"AAR2",547.676886115679,-0.0657155583855278,0.162811101400014,-0.403630697295449,0.686484308712907,0.893200939084395
"AARD",82.012882530797,0.135596082542561,0.217512995622539,0.623393016837797,0.533026285773142,0.816009667513484
"AARS",4029.86528897519,0.00408447225411739,0.0948510964626708,0.0430619403089858,0.965652158373379,0.987901837482419
"AARS2",455.710200809343,-0.215759734993219,0.130471252010741,-1.65369559706116,0.0981893777103948,0.389884551298697
"AARSD1",0.331671135613598,0.152826744797625,3.43473145549924,0.044494525053171,0.964510216031451,NA
"AASDH",431.972140850074,0.0243280722225849,0.150215338549137,0.161954647624929,0.871341568230466,0.957896119851256
"AASDHPPT",846.158146761397,-0.156625861866212,0.112886092000829,-1.38746819107763,0.165299044079757,0.505045953628302
"AASS",1056.90222533442,0.201410659119014,0.114746027174421,1.75527348596442,0.0792125394188569,0.34665131459485
"AATBC",0.849175155101965,0.883285715276486,2.60366114054872,0.339247570092909,0.73442323600415,NA
"AATF",1056.47240072515,-0.177260939534882,0.129054938271171,-1.37353085367737,0.169587376291494,0.51041577676063
"AATK",2.44747347508689,-0.467585750577839,1.42879124903164,-0.327259668544824,0.743471494193754,NA
"ABALON",4.53160633053477,-0.707816082271205,0.989409070118948,-0.715392756795842,0.474366386917634,NA
"ABAT",508.160522351564,-0.0619829817049214,0.115225274901399,-0.537928694533052,0.590626277392444,0.845847987453969
"ABCA1",2069.47563452186,0.165350407312017,0.150800462462117,1.09648474953156,0.272866693680342,0.632658352957376
"ABCA10",74.3721036194662,0.485777333113618,0.271562981421768,1.78882014982429,0.0736437847542286,0.33267379603956
"ABCA11P",61.2120196780078,-0.0585125518556287,0.290262415883037,-0.201585009473657,0.840241165350632,0.948091278554307
"ABCA12",1.78713055813281,-0.162549104408472,1.61133003317382,-0.100878839878818,0.919646640736419,NA
"ABCA13",0.31103336677484,0.152826264121553,3.50884272952673,0.043554606433491,0.965259436151907,NA
"ABCA17P",0.764900157483925,-2.99297225078431,2.23875011647206,-1.3368942914901,0.181257144457885,NA
"ABCA2",1326.7158993913,0.138428971913943,0.142394486815475,0.972151204795798,0.330975331478464,0.679547681557243
"ABCA3",181.052017946643,0.269001536641273,0.191861245347737,1.4020629135067,0.160896460479048,0.498730527964474
"ABCA4",9.23884661762347,0.373475659481349,0.632707598967801,0.59028160889902,0.555001867152794,NA
"ABCA5",721.652642336516,0.159677669650883,0.201672950529263,0.791765426309431,0.428497465195078,0.752210141862731
"ABCA6",593.74824925248,0.485387886926609,0.166708634445489,2.91159416272061,0.00359589505096866,0.0444893834036275
"ABCA7",383.602559567632,0.294304462185812,0.204580855536486,1.43857283915466,0.150271586361365,0.48328069511835
"ABCA8",704.006306281676,0.0501703396784964,0.11487723220927,0.4367300527149,0.662307131609419,0.882432496741379
"ABCA9",260.700837877369,0.949183552707425,0.252878387278607,3.75351789815738,0.000174370075792606,0.00385686476642796
"ABCA9-AS1",0,NA,NA,NA,NA,NA
